id,city,state,lat,long
101,Erie,PA,42.12922,-80.08506
102,El Centro,CA,32.792,-115.56305
103,Detroit,MI,42.33143,-83.04575
104,Lancaster,PA,40.03788,-76.30551
105,Brownsville,TX,25.90175,-97.49748
106,Boise,ID,43.6135,-116.20345
107,Walla Walla,WA,46.06458,-118.34302
108,College Station,TX,30.62798,-96.33441
109,Kalamazoo,MI,42.29171,-85.58723
110,Fond du Lac,WI,43.775,-88.43883
111,Lafayette,IN,40.4167,-86.87529
112,Baton Rouge,LA,30.45075,-91.15455
113,Bloomington,IN,39.16532,-86.52639
114,Victoria,TX,28.80527,-97.0036
115,Dubuque,IA,42.50056,-90.66457
116,Homosassa Springs,FL,28.80359,-82.57593
117,Cumberland,MD,39.65287,-78.76252
118,Shreveport,LA,32.52515,-93.75018
119,Los Angeles,CA,34.05223,-118.24368
120,Portland,OR,45.52345,-122.67621
121,Grand Rapids,MI,42.96336,-85.66809
122,Portland,ME,43.66147,-70.25533
123,Salisbury,MD,38.36067,-75.59937
124,Pueblo,CO,38.25445,-104.60914
125,Redding,CA,40.58654,-122.39168
126,Florence,AL,34.79981,-87.67725
127,Grand Island,NE,40.92501,-98.34201
128,Davenport,IA,41.52364,-90.57764
129,Tulsa,OK,36.15398,-95.99278
130,Jonesboro,AR,35.8423,-90.70428
131,Rochester,MN,44.02163,-92.4699
132,San Diego,CA,32.71533,-117.15726
133,Owensboro,KY,37.77422,-87.11333
134,Miami,FL,25.77427,-80.19366
135,Virginia Beach,VA,36.85293,-75.97798
136,Yuma,AZ,32.72532,-114.6244
137,Johnstown,PA,40.32674,-78.92197
138,Clarksville,TN,36.52977,-87.35945
139,Fort Smith,AR,35.38592,-94.39855
140,Buffalo,NY,42.88645,-78.87837
141,Toledo,OH,41.66394,-83.55521
142,Sacramento,CA,38.58157,-121.4944
143,Danville,IL,40.12448,-87.63002
144,South Bend,IN,41.68338,-86.25001
145,Anchorage,AK,61.21806,-149.90028
146,Albuquerque,NM,35.08449,-106.65114
147,Kansas City,MO,39.09973,-94.57857
148,Jacksonville,NC,34.75405,-77.43024
149,Honolulu,HI,21.30694,-157.85833
150,Lawton,OK,34.60869,-98.39033
